ID,tempo_desloc_minutos,faltas,cod_cor_favorita,quant_irmaos,horas_estudo,fez_atividade_extra,cod_letra_turma,nota_p1,nota_p2,nota_p3,recuperacao,situacao
0,43,6,4,1,36,1,1,0.25,8.47,4.94,1,aprovado
1,123,20,1,1,68,0,1,0.32,7.0,10.0,1,aprovado
2,122,18,4,1,48,0,0,2.21,4.58,9.83,1,aprovado
3,41,13,1,2,45,1,2,0.93,8.78,8.32,1,aprovado
4,111,14,4,4,29,0,2,0.79,2.26,5.08,1,reprovado
5,35,11,1,2,44,1,3,8.56,8.31,-1.0,0,aprovado
6,105,20,4,4,32,1,0,2.1,4.73,6.32,1,reprovado
7,84,11,3,0,26,1,2,9.91,4.76,3.58,1,aprovado
8,95,12,7,3,45,0,3,2.13,6.86,8.32,1,aprovado
9,124,14,6,1,35,1,2,8.99,10.0,-1.0,0,aprovado
10,43,5,2,4,60,0,3,1.53,9.99,10.0,1,aprovado
11,17,3,1,2,26,1,2,6.81,7.52,-1.0,0,aprovado
12,82,18,2,2,33,1,0,9.73,6.9,-1.0,0,aprovado
13,56,6,0,3,18,1,2,5.4,8.65,-1.0,0,aprovado
14,93,16,3,0,28,1,0,2.4,5.67,4.13,1,reprovado
15,136,23,2,4,25,1,2,9.48,9.78,-1.0,0,reprovado
16,66,15,6,3,50,0,2,7.14,4.88,7.94,1,aprovado
17,73,10,0,0,11,1,0,5.89,7.68,-1.0,0,aprovado
18,33,11,4,1,15,1,3,5.15,8.3,-1.0,0,aprovado
19,136,15,7,1,30,1,3,2.43,5.03,5.81,1,reprovado
20,28,8,1,3,32,0,0,6.74,2.45,6.25,1,aprovado
21,123,19,7,0,64,0,1,1.84,8.77,10.0,1,aprovado
22,18,9,3,3,36,0,1,9.7,6.51,-1.0,0,aprovado
23,30,10,0,2,49,0,3,1.65,8.43,10.0,1,aprovado
24,139,23,4,0,60,0,1,1.55,6.57,7.75,1,reprovado
25,137,15,2,4,36,0,0,5.03,2.34,8.82,1,aprovado
26,118,13,3,4,58,1,0,1.2,9.58,8.84,1,aprovado
27,81,14,5,2,34,1,1,2.04,5.25,5.83,1,reprovado
28,33,6,1,4,69,0,0,0.09,10.0,10.0,1,aprovado
29,77,12,2,4,74,1,3,3.7,10.0,10.0,1,aprovado
30,91,10,1,2,31,1,1,9.33,4.16,5.28,1,aprovado
31,68,14,3,4,19,1,2,7.18,8.62,-1.0,0,aprovado
32,38,9,4,0,14,1,0,6.35,5.06,-1.0,0,reprovado
33,128,14,6,0,15,1,0,5.52,8.06,-1.0,0,aprovado
34,52,5,0,2,58,0,2,4.3,6.0,7.76,1,aprovado
35,119,14,2,1,29,0,1,9.75,7.32,-1.0,0,aprovado
36,100,12,6,2,30,1,1,7.83,3.44,6.11,1,aprovado
37,66,10,7,2,39,0,2,8.17,3.34,6.52,1,aprovado
38,32,9,4,4,40,1,2,9.68,7.14,-1.0,0,aprovado
39,81,17,4,0,56,0,0,1.79,8.44,9.19,1,aprovado
40,145,20,3,0,20,1,2,1.16,6.04,5.94,1,reprovado
41,65,11,1,4,34,1,2,3.65,5.25,5.8,1,reprovado
42,119,18,4,1,51,1,1,3.27,10.0,9.46,1,aprovado
43,92,12,0,2,59,1,2,4.06,9.91,8.98,1,aprovado
44,128,23,3,1,24,0,3,4.43,3.83,6.1,1,reprovado
45,38,7,3,1,35,0,2,8.19,3.1,6.76,1,aprovado
46,33,9,3,3,46,0,3,4.56,6.69,10.0,1,aprovado
47,42,11,3,4,7,1,1,7.79,7.48,-1.0,0,aprovado
48,46,14,7,3,64,0,2,4.57,10.0,10.0,1,aprovado
49,55,9,7,2,46,0,3,7.44,9.65,-1.0,0,aprovado
50,139,18,4,0,36,0,3,6.27,3.6,7.21,1,aprovado
51,50,6,6,1,61,0,1,1.51,7.85,9.7,1,aprovado
52,67,13,6,4,34,0,0,8.34,6.01,-1.0,0,aprovado
